"UTLA20CD","UTLA20NM","LSOA11CD","LSOA11NM","NOMIS Code"
"E06000058","Bournemouth, Christchurch and Poole","E01015385","Poole 007F",1249917518
"E06000058","Bournemouth, Christchurch and Poole","E01020359","Christchurch 002D",1249922395
"E06000058","Bournemouth, Christchurch and Poole","E01015289","Bournemouth 021C",1249917423
"E06000058","Bournemouth, Christchurch and Poole","E01015386","Poole 009A",1249917519
"E06000058","Bournemouth, Christchurch and Poole","E01020360","Christchurch 006A",1249922396
"E06000058","Bournemouth, Christchurch and Poole","E01020361","Christchurch 006B",1249922397
"E06000058","Bournemouth, Christchurch and Poole","E01020362","Christchurch 007D",1249922398
"E06000058","Bournemouth, Christchurch and Poole","E01020363","Christchurch 005D",1249922399
"E06000058","Bournemouth, Christchurch and Poole","E01020364","Christchurch 006C",1249922400
"E06000058","Bournemouth, Christchurch and Poole","E01020365","Christchurch 001D",1249922401
"E06000058","Bournemouth, Christchurch and Poole","E01020366","Christchurch 002E",1249922402
"E06000058","Bournemouth, Christchurch and Poole","E01020367","Christchurch 006D",1249922403
"E06000058","Bournemouth, Christchurch and Poole","E01020368","Christchurch 006E",1249922404
"E06000058","Bournemouth, Christchurch and Poole","E01020369","Christchurch 004A",1249922405
"E06000058","Bournemouth, Christchurch and Poole","E01020370","Christchurch 004B",1249922406
"E06000058","Bournemouth, Christchurch and Poole","E01020371","Christchurch 004C",1249922407
"E06000058","Bournemouth, Christchurch and Poole","E01020372","Christchurch 004D",1249922408
"E06000058","Bournemouth, Christchurch and Poole","E01032659","Poole 015F",1249934437
"E06000058","Bournemouth, Christchurch and Poole","E01032660","Poole 015G",1249934438
"E06000058","Bournemouth, Christchurch and Poole","E01032661","Poole 015H",1249934439
"E06000058","Bournemouth, Christchurch and Poole","E01032662","Poole 015I",1249934440
"E06000058","Bournemouth, Christchurch and Poole","E01033241","Bournemouth 019F",1249934965
"E06000058","Bournemouth, Christchurch and Poole","E01033242","Bournemouth 017F",1249934966
"E06000058","Bournemouth, Christchurch and Poole","E01033283","Bournemouth 019G",1249935007
"E06000058","Bournemouth, Christchurch and Poole","E01033285","Bournemouth 017G",1249935008
"E06000058","Bournemouth, Christchurch and Poole","E01033286","Bournemouth 023C",1249935009
"E06000058","Bournemouth, Christchurch and Poole","E01033288","Bournemouth 023D",1249935010
"E06000059","Dorset","E01020373","East Dorset 001A",1249922409
"E06000059","Dorset","E01020374","East Dorset 001B",1249922410
"E06000059","Dorset","E01020375","East Dorset 009A",1249922411
"E06000059","Dorset","E01020376","East Dorset 009B",1249922412
"E06000059","Dorset","E01020377","East Dorset 007A",1249922413
"E06000059","Dorset","E01020378","East Dorset 009C",1249922414
"E06000059","Dorset","E01020379","East Dorset 007B",1249922415
"E06000059","Dorset","E01020380","East Dorset 007C",1249922416
"E06000059","Dorset","E01020381","East Dorset 007D",1249922417
"E06000059","Dorset","E01020382","East Dorset 012A",1249922418
"E06000059","Dorset","E01020383","East Dorset 012B",1249922419
"E06000059","Dorset","E01020384","East Dorset 012C",1249922420
"E06000059","Dorset","E01020385","East Dorset 012D",1249922421
"E06000059","Dorset","E01020386","East Dorset 012E",1249922422
"E06000059","Dorset","E01020387","East Dorset 012F",1249922423
"E06000059","Dorset","E01020388","East Dorset 012G",1249922424
